B01155, Buochserhorn Ochsenweid ,1552 m ,675.1/199.4 
B02174, Musenalp (Bergstation) ,1747 m ,676.5/198.0 
B03193, Haldigrat (Restaurant) ,1937 m ,676.3/195.1 
B04118, Braendlen (Bergstation) ,1188 m ,673.8/195.2 
B05121, Wellenberg (Bergstation) ,1213 m ,673.3/193.4 
B06131, Brunniswald (Bergstation) ,1310 m ,672.2/190.3 
B07165, Stock (westliches Felsband) ,1650 m ,672.8/188.8 
B08163, Ober Zieblen (Bergstation) ,1631 m ,676.3/186.0 
B09158, Dagenstal ,1587 m ,677.5/185.1 
B10184, Fuerenalp (Bergstation) ,1848 m ,678.6/183.8 
B11126, Gerschnialp (Bergstation) ,1262 m ,672.8/185.0 
B12141, Eggen (Bergstation) ,1418 m ,668.9/189.7 
B13110, Bueelen (Bergstation) ,1102 m ,670.6/192.6 
B14167, Egg (Bergstation) ,1675 m ,669.1/193.6 
B15157, Gummen (Bergstation) ,1579 m ,670.3/194.9 
B16122, Wirzweli (Bergstation) ,1221 m ,670.7/196.3 
B17184, Stanserhorn (Bergstation) ,1848 m ,668.8/198.1 
B18175, Brisenhaus ,1753 m ,678.1/196.4 
B19210, Wandelen ,2105 m ,661.7/186.0 
B20211, Oberbauenstock ,2117 m ,684.3/198.7 
B21179, Station Tru_bsee ,1796 m ,673.3/183.0 
B22303, Station Titlis ,3030 m ,675.1/180.4 
B23204, Guepfi ,2043 m ,675.7/183.1 
B24175, Risetestock ,1759 m ,645.1/201.0 
B25229, Surenenpass ,2291 m ,684.4/187.9 
B26217, Juchli ,2171 m ,667.5/185.7 
L01101, Engelberg ,1012 m ,674.5/185.5 
L02057, Grafenort ,0570 m ,671.2/191.2 
L03051, Wolfenschiessen ,0511 m ,673.1/195.3 
L04050, Dallenwil ,0500 m ,673.1/197.0 
S01180, Brunni ,1800 m ,674.3/187.9 
